Well	Dates	BHP, bar	Oil Rate, m3/day	Water Rate, m3/day	Gas Rate, m3/day	Mas oil rate, m3/day	Mas gas rate, m3/day	PI oil	PI water	PI gas
1PO	01.01.2021	85.242274 	0.097506 	0.002494 	3.313879 	0.084362 	0.002596 	35.937704 	1.152658 	1221.673855 
1PO	02.01.2021	80.905314 	187.278262 	7.725290 	6371.499327 	162.032955 	4.990646 	36.615980 	1.599396 	1241.258656 
1PO	03.01.2021	77.331533 	343.154697 	14.557550 	11711.258746 	296.897083 	9.173155 	37.141524 	1.673208 	1264.873043 
1PO	04.01.2021	73.489462 	503.128298 	21.545764 	17212.244388 	435.306073 	13.481948 	37.489088 	1.674978 	1280.567060 
1PO	05.01.2021	69.433559 	666.170369 	28.691254 	22822.496633 	576.369902 	17.876328 	37.672885 	1.676288 	1289.100595 
1PO	06.01.2021	65.245386 	829.644485 	35.914368 	28437.783051 	717.807534 	22.274650 	37.738511 	1.677246 	1292.265483 
1PO	07.01.2021	60.971955 	992.021956 	43.173462 	33997.001140 	858.296351 	26.629055 	37.716200 	1.677903 	1291.407466 
1PO	08.01.2021	56.643658 	1152.239663 	50.441019 	39457.675594 	996.916543 	30.906274 	37.624949 	1.678290 	1287.405251 
1PO	09.01.2021	52.280639 	1309.543149 	57.697942 	44793.771409 	1133.015354 	35.085913 	37.478191 	1.678428 	1281.006169 
1PO	10.01.2021	47.896651 	1463.462183 	64.932887 	49987.449018 	1266.185939 	39.153999 	37.286446 	1.678331 	1272.689127 
1PO	11.01.2021	43.502241 	1613.657883 	72.139532 	55027.763734 	1396.135101 	43.101960 	37.056838 	1.678006 	1262.823614 
1PO	12.01.2021	41.712909 	1669.166457 	75.045107 	56849.221610 	1444.161061 	44.528665 	36.864488 	1.677688 	1254.675439 
1PO	13.01.2021	39.078969 	1752.743231 	79.257877 	59617.275084 	1516.471598 	46.696817 	36.666678 	1.677257 	1246.303954 
1PO	14.01.2021	34.690486 	1895.785453 	86.359623 	64387.068857 	1640.231577 	50.432884 	36.418546 	1.676551 	1236.101848 
1PO	15.01.2021	30.304931 	2035.220171 	93.473437 	69019.239842 	1760.870348 	54.061156 	36.135644 	1.675600 	1224.726304 
1PO	16.01.2021	25.938475 	2169.713197 	100.521287 	73493.698088 	1877.233573 	57.565894 	35.827240 	1.674420 	1212.907042 
1PO	17.01.2021	21.582242 	2299.936782 	107.526323 	77825.324567 	1989.902882 	60.958756 	35.500093 	1.673020 	1200.667753 
1PO	18.01.2021	17.238785 	2426.181820 	114.492216 	82012.619378 	2099.129956 	64.238566 	35.159958 	1.671401 	1187.998289 
1PO	19.01.2021	12.909384 	2548.475051 	121.416136 	86058.916825 	2204.937931 	67.407936 	34.809397 	1.669566 	1175.016576 
1PO	20.01.2021	8.593593 	2667.069300 	128.300929 	89994.154259 	2307.545550 	70.490315 	34.451896 	1.667522 	1162.106716 
3PO	01.01.2021	207.571128 	0.076957 	0.023043 	3.067399 	0.066583 	0.002403 	4.536899 	1.452592 	180.834972 
3PO	02.01.2021	197.202114 	38.575564 	20.340650 	1537.572419 	33.375537 	1.204344 	3.943599 	2.084506 	157.186782 
3PO	03.01.2021	186.273976 	78.047839 	41.513503 	3110.886591 	67.526908 	2.436685 	3.941166 	2.089048 	157.089805 
3PO	04.01.2021	175.187270 	117.228032 	62.790491 	4672.558744 	101.425570 	3.659906 	3.936133 	2.095787 	156.889210 
